NAME_(ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,
Finsterwalde,,4 km SE,Finsterwalde,,DDR,9,EDUS,,,M,,51,36.4,N,13,44.4,E,H,,,,,,,51.6067,13.74,,2400,60,H,88,Sep-27,CONC,,,,,,,,,,,,,,,"In 1965 the base had MiG-17, Su-7 or Su-17, Yak-12, and MiG-15UTI.  It was operating only the Yak-28 by the 1970s.  A MiG-23 regiment returned to Russia in March 1993.  Only a 1200 x 30 m subset of the original runway is in use.",
Grossenhain,,2 km NE,Grossenhain,,DDR,9,EDAK,,,M,,51,18.5,N,13,33.3,E,H,,,,,,,51.3083,13.555,,2400,45,H,115,Dec-30,CONC,,,,,,,,,,,,,,,"In 1965 the base had MiG-17, Su-7 or Su-17, Yak-12, and MiG-15UTI.  It was operating only the Yak-28 in the 1970s.  The original runway has been reduced to a 1425 x 45 m subset of the original 2400 m runway.",
Dresden/Hellerau,,9 km N,Dresden,,DDR,9,,,,M,,51,8,N,13,46,E,H,,,,,,,51.1333,13.7667,,2500,80,H,41,Apr-22,CONC,,,,,,,,,,,,,,,,
Cottbus,,3 km NW,Cottbus,,DDR,9,,,,M,,51,46.1,N,14,17.6,E,H,,,,,,,51.7683,14.2933,,2350,50,H,78,Aug-26,CONC,,,,,,,,,,,,,,,Only a 1570 x 40 m subset of the original runway is marked for use.,
Drewitz,,20 km NE,Cottbus,,DDR,9,,,,M,,51,53.4,N,14,31.9,E,H,,,,,,,51.89,14.5317,,2500,80,H,69,,CONC,,,,,,,,,,,,,,,Runway is 80 m wide but only 50 m is usable.,
Welzow,,2 km W,Welzow,,DDR,9,,,,M,,51,34.6,N,14,8.3,E,H,,,,,,,51.5767,14.1383,,2500,80,H,36,,CONC,,,,,,,,,,,,,,,"In 1965 it was home to Il-28, Il-14, Mi-1, and Yak-12 aircraft.  By the 1970s it had only the An-12.  The 11 RAP (Su-24MR) returned to Russia in June 1993.  Old East German military airfield in decaying condition.",
Litten,Bautzen,6 km NE,Bautzen,,DDR,9,EDAB,,,M,,51,11.6,N,14,31.2,E,H,,,,,,,51.1933,14.52,,2220,50,H,73,Jul-25,CONC,,,,,,,,,,,,,,,Old East German military airfield.,
Altenburg,"Nobiz, Nobitz",5 km SE,Altenburg,,DDR,9,EDAC,,,M,,50,58.6,N,12,30.3,E,H,,,,,,,50.9767,12.505,,2265,80,H,40,Apr-22,CONC,,,,,,,,,,,,,,,"Old East German military airfield.  In 1965 it had a large MiG-17 regiment plus Yak-12 and MiG-15UTI planes.  It was operating only the MiG-21 in the 1970s and had a reconnaissance regiment flying the MiG-21R.  By the 1990s it was operated by the 968 IAP flying MiG-29 and MiG-23UM, plus an An-2.  Only a 1670 x 45 m subset of the runway is now marked for use.",
Kolorbrzeg,,8 km NE,Kolorbrzeg,,POL,4,,,,M,,54,12,N,15,41.2,E,G,,,,,,,54.2,15.6867,,2500,40,G,76,,CONC,,,,,,,,,,,,,,,,
Zegrze Pomorskie,,17 km S,Koszalin,,POL,4,,,,M,,54,2.5,N,16,15.8,E,G,,,,,,,54.0417,16.2633,,2500,60,G,72,,CONC,,,,,,,,,,,,,,,,
Redzikowo,Slupsk,5 km NE,Slupsk,,POL,4,EPSK,,,M,,54,28.7,N,17,6.2,E,G,,,,,,,54.4783,17.1033,,2360,60,G,86,,CONC,,,,,,,,,,,,,,,,
Oksywie,Gdynia (US),7 km N,Gdynia,,POL,9,EPOK,,,M,,54,34.7,N,18,31,E,G,,,,,,,54.5783,18.5167,,2500,60,H,137,14/32,CONC,,,,,,,,,,,,,,,Very large airfield facility.,
Malbork,,6 km E,Malbork,,POL,4,EPMB,,,M,,54,1.6,N,19,8.2,E,G,,,,,,,54.0267,19.1367,,2500,60,G,79,,CONC,,,,,,,,,,,,,,,"The 22nd Air Base (Polish: 22. baza lotnicza) is a Polish Air Force base, located near Malbork. It was officially constituted on 1 January 2001, replacing the disbanded 41st Fighter Aviation Regiment. The main unit based there is the 41st Air Tactical Squadron flying MiG-29 fighters.  (ALL TEXT FROM WIKIPEDIA)",
Goleniow,,5 km E,Goleniow,,POL,9,EPSC,,,M,,53,35.1,N,14,54.1,E,H,,,,,,,53.585,14.9017,,2500,60,H,131,13/31,CONC,,,,,,,,,,,,,,,"Szczecin-Goleniów ""Solidarność"" Airport (Polish: Port Lotniczy Szczecin-Goleniów im. NSZZ ""Solidarność"") is the main domestic and international airport serving the city of Szczecin in Poland and is located 45 km northeast of the city, near the town of Goleniów. About 1.6 million residents live within its catchment. [VERBATIM FROM WIKIPEDIA]",
Stargard,Kluczewo-Stargard,8 km SW,Stargard,,POL,9,,,,M,,53,16.8,N,14,58,E,H,,,,,,,53.28,14.9667,,2500,60,H,146,15/33,CONC,,,,,,,,,,,,,,,Polish Air Force fighter base that has fallen into neglect.  It is not believed to be operational.,
Swidwin,Smardzko,3 km NW,Smardzko,,POL,4,EPSN,,,M,,53,47.4,N,15,49.6,E,G,,,,,,,53.79,15.8267,,2500,60,G,111,Nov-29,CONC,,,,,,,,,,,,,,,Polish Air Force fighter base.,
Miroslawiec,,6 km N,Miroslawiec,,POL,9,EPMI,,,M,,53,23.7,N,16,5,E,H,,,,,,,53.395,16.0833,,2500,45,H,125,Dec-30,CONC,,,,,,,,,,,,,,,Active Polish Air Force base still in good condition.,
Debrzno,,2 km SE,Debrzno,,POL,4,,,,M,,53,31.5,N,17,15.5,E,G,,,,,,,53.525,17.2583,,2500,60,G,68,,CONC,,,,,,,,,,,,,,,Military base in unknown condition.,
Bydgoszcz/Jan Paderewski Airport,,3 km SW,Bydgoszcz,,POL,9,EPBY,,,M,,53,5.8,N,17,58.6,E,H,,,,,,,53.0967,17.9767,,2500,80,H,82,,CONC,,,,,,,,,,,,,,,"Bydgoszcz Ignacy Jan Paderewski Airport (Polish: port lotniczy im. ignacego jana paderewskiego bydgoszcz-szwederowo) is a Polish regional airport in the city of Bydgoszcz, Poland. It lies only 3 km (1.9 miles) from the city center. It is the tenth airport in Poland in terms of passenger traffic. Currently the airport features one passenger terminal and one runway with dimmensions 2500 x 60 m. Plans for development in 2007-2013 include extending the runway and building a cargo terminal. [WIKIPEDIA]  The runway width is 80 m but only 60 m is marked for use.  The base originally had a military purpose and numerous hardened revetments exist around the airfield.",
Szymany,Szczytno,9 km SW,Szczynto,,POL,4,EPSY,,,M,,53,28.8,N,20,56.2,E,G,,,,,,,53.48,20.9367,,2000,45,G,19,,CONC,,,,,,,,,,,,,,,,
Ketrzyn,,4 km SE,Ketrzyn,,POL,4,,,,X,,54,3,N,21,25,E,G,,,,,,,54.05,21.4167,,2500,40,G,,,,,,,,,,,,,,,,,,Location suspected but uncertain.,
Rostki,,,,,POL,4,,,,X,,53,42,N,21,54,E,G,,,,,,,53.7,21.9,,2000,,G,,,,,,,,,,,,,,,,,,Location suspected but uncertain.,
Babimost/Zielona Góra Airport,,4 km SW,Babimost,,POL,4,EPZG,,,M,,52,8.3,N,15,47.9,E,G,,,,,,,52.1383,15.7983,,2500,60,G,65,Jun-24,CONC,,,,,,,,,,,,,,,Former military airfield along the western frontier of Poland.  Zielona Góra-Babimost Airport is the 10th busiest in Poland. It has recently been taken over from the Polish Army by the regional authorities.,
Lawica,Poznan-Lawica Airport,7 km W,Lawica,,POL,9,EPPO,,,M,,52,25.3,N,16,49.4,E,H,,,,,,,52.4217,16.8233,,2500,60,H,108,Nov-29,ASPH/CONC,,,,,,,,,,,,,,,"Poznań-Ławica Airport , built in 1913, is one of the oldest airports in Poland. It is located 7 km west of the Poznań city centre.",
Powidz,,6 km SW,Powidz,,POL,9,EPPW,,,M,,52,22.7,N,17,51.1,E,H,,,,,,,52.3783,17.8517,,3500,80,H,107,11R/29L,CONC,2725,30,H,107,,,11L/29R,CONC,310,603,,,,,"The 33rd Air Base (Polish: 33. baza lotnicza) is a Polish Air Force base, located near Powidz. It was officially constituted on 1 January 2000 as the 21st airbase, replacing the disbanded 7th Bomber-Reconnaissance Aviation Regiment, then redesignated to its current name on January 1, 2001.  The base has one of the longest runways in Poland.  A smaller taxiway serves as a 2750 m runway.",
Leznica Wielka,,7 km SW,Leznica Wielka,,POL,4,,,,M,,52,0.3,N,19,8.6,E,G,,,,,,,52.005,19.1433,,2500,60,G,104,,,,,,,,,,,,,,,,,,
Modlin,,35 km NW,Warsaw,,POL,4,,,,M,,52,27.1,N,20,39.1,E,G,,,,,,,52.4517,20.6517,,2500,80,G,82,,CONC,,,,,,,,,,,,,,,Major airfield serving as the western front-line defense for Warsaw.,
Warsaw/Okecie Airport,Frederic Chopin Airport,8 km SW,Warsaw,,POL,9,,,,M,,52,9.8,N,20,58.1,E,H,,,,,,,52.1633,20.9683,,3700,60,H,152,15/33,CONC,2300,50,H,115,,,Nov-29,CONC,310,480,,,,,"Warsaw Frederic Chopin Airport (Polish: Port Lotniczy im. Fryderyka Chopina) is an international airport located in the Okęcie district of Warsaw, Poland. Formerly Okęcie International Airport, it is named after the famous Polish composer and former Warsaw resident, Frédéric Chopin. It is Poland's busiest airport, handling more than 50% of the country's air passenger traffic.",
Minsk/Mazowiecki,,6 km NE,Minsk,,POL,4,EPMM,,,M,,52,11.7,N,21,39.3,E,G,,,,,,,52.195,21.655,,2500,60,G,90,,CONC,,,,,,,,,,,,,,,"The 23rd Air Base (Polish: 23 baza lotnicza) is a Polish Air Force base, located 6 km east of Mińsk Mazowiecki. It was officially constituted on 1 January 2001, replacing the disbanded 1st Aviation Regiment ""Warszawa"". The main unit based there is the 1st Air Tactical Squadron flying MiG-29 fighters.",
Wysokie Mazowieckie,,2 km NE,Wysokie Mazowieckie,,POL,4,,,,X,,52,55.9,N,22,31.7,E,G,,,,,,,52.9317,22.5283,,2000,30,G,82,,CONC,,,,,,,,,,,,,,,Airfield abandoned and destroyed probably in the 1970s or 1980s.  Last listed on a 1970s GNC chart.,
Zagan,Stara Kopernia,6 km NE,Zagan,,POL,4,,,,M,,51,37.6,N,15,24.5,E,G,,,,,,,51.6267,15.4083,,2500,60,G,108,,CONC,,,,,,,,,,,,,,,This is the southwesternmost major airfield in Poland and is close to Osla.,
Osla,,4 km SE,Szprotawa,,POL,4,,,,M,,51,33.6,N,15,35.3,E,G,,,,,,,51.56,15.5883,,2500,60,G,80,,CONC,,,,,,,,,,,,,,,Located in the southwestern corner of Poland.,
Strachowice,,11 km W,Wroclaw,,POL,9,EPWR,,,M,,51,6.2,N,16,52.9,E,H,,,,,,,51.1033,16.8817,,2500,60,G,116,Dec-30,CONC,,,,,,,,,,,,,,,Serves the city of Wroclaw.,
Lask,,5 km SE,Lask,,POL,4,EPLK,,,M,,51,33.1,N,19,10.7,E,G,,,,,,,51.5517,19.1783,,2500,60,G,107,,CONC,,,,,,,,,,,,,,,,
Glinnik Nowy,,8 km NE,Tomaszow Mazowiecki,,POL,4,,,,M,,51,35,N,20,5.8,E,G,,,,,,,51.5833,20.0967,,2000,60,G,116,,ASPH,,,,,,,,,,,,,,,,
Nowe Miasto,Nowe Miasto nad Pilica,3 km NW,Nowe Miasto,,POL,5,,,,M,,51,37.6,N,20,32.2,E,G,,,,,,,51.6267,20.5367,,2500,60,G,76,,CONC,,,,,,,,,,,,,,,,
Radom/Sadkow,,5 km SE,Radom,,POL,4,,,,M,,51,23.3,N,21,12.7,E,G,,,,,,,51.3883,21.2117,,2000,60,G,75,,CONC,,,,,,,,,,,,,,,On 1 September 2007 two planes crashed at the Radom Air Show in front of about thirty thousand spectators.,
Skarbimierz,Brzeg,5 km SW,Brzeg,,POL,4,,,,M,,50,50.2,N,17,24.8,E,G,,,,,,,50.8367,17.4133,,2500,60,G,90,,CONC,,,,,,,,,,,,,,,Believed to be decommissioned.,
Kamien Slaski,,9 km NE,Krapkowice,,POL,4,,,,M,,50,31.7,N,18,5.1,E,G,,,,,,,50.5283,18.085,,2300,60,G,112,,CONC,,,,,,,,,,,,,,,,
Rudniki,,10 km NE,Czestochowa,,POL,4,EPCH,,,M,,50,53.1,N,19,12.2,E,G,,,,,,,50.885,19.2033,,2000,60,G,83,,CONC,,,,,,,,,,,,,,,,
Katowice/International,"Pyrzowice, Zendek (US)",3 km S,Zendek,,POL,9,EPKT,,,M,,50,28.5,N,19,4.4,E,H,,,,,,,50.475,19.0733,,2800,60,H,90,,CONC,,,,,,,,,,,,,,,"Katowice International Airport is an international airport located in Pyrzowice.  The airport features two passenger terminals A and B (completed in 2007) and a cargo terminal. Its concrete runway is 2,799 m long and 59 m wide and can accommodate any Boeing 747 or Boeing 777. Heavy transports such as An-124 or An-225 are sometimes seen here.",
Karlovy Vary,,5 km SE,Carlsbad,,CZE,7,LKKV,,,M,,50,12.2,N,12,54.8,E,G,,,,,,,50.2033,12.9133,,2000,60,G,113,,UNKN,,,,,,,,,,,,,,,Karlovy Vary is now an international airport.  It is only about 50 km from the German border.,
Zatec,,6 km NE,Zatec,,CZE,4,,,,M,,50,22.2,N,13,35.3,E,G,,,,,,,50.37,13.5883,,2500,80,G,96,,CONC,,,,,,,,,,,,,,,This military airfield is the second northernwesternmost airfield in the Czech Republic.,
Hradcany,"Letiste Ralsko, Mimon (US)",4 km S,Mimon,,CZE,4,,,,M,,50,37.1,N,14,44,E,G,,,,,,,50.6183,14.7333,,2500,80,G,97,,CONC,,,,,,,,,,,,,,,"Hradčany Airport (Letiště Ralsko) is a former military airport in area of town Ralsko in Liberec Region, northern part of the Czech Republic. Built toward the end of World War II for Luftwaffe it was expanded after the war. In 1968 Soviet Army took control and set up large air base here. After the Soviets left in 1991 the airport was abandoned and devastated.",
Praha/Ruzyne,,10 km W,Praha,,CZE,9,LKPR,,,M,,50,6.5,N,14,15,E,H,,,,,,,50.1083,14.25,,3700,60,H,65,Jun-24,CONC,3250,50,H,127,,,13/31,CONC,140,1500,,,,,Prague-Ruzyně is the biggest airport in the Czech Republic and with 11.6 million passengers in 2006,
Hradec Kralove,,5 km N,Hradec Kralove,,CZE,4,LKHK,,,M,,50,15.2,N,15,50.7,E,G,,,,,,,50.2533,15.845,,2400,60,G,155,,CONC,,,,,,,,,,,,,,,,
Horovice,,1 km NW,Horovice,,CZE,4,LKHV,,,M,,49,50.8,N,13,53.6,E,G,,,,,,,49.8467,13.8933,,2400,40,G,66,,ASPH,,,,,,,,,,,,,,,"This seems to be primarily an airport for utilitarian use, not a combat airfield.",
Tchorovice,,6 km W,Blatna,,CZE,4,,,,M,,49,25.9,N,13,47.8,E,G,,,,,,,49.4317,13.7967,,2000,40,G,84,,CONC,,,,,,,,,,,,,,,Front line Czech airfield with no taxiways or support buildings.  Served as a dispersal base.,
Vsechov,,4 km NW,Tabor,,CZE,4,,,,M,,49,26.3,N,14,37.3,E,G,,,,,,,49.4383,14.6217,,2000,30,G,132,,ASPH,,,,,,,,,,,,,,,"Front line Czech dispersal airfield, with one parallel taxiways and no significant infrastructure.",
Namest nad Oslavou,"Namest, Sedlec",5 km SW,Namest nad Oslavou,,CZE,4,LKNA,,,M,,49,10,N,16,7.5,E,G,,,,,,,49.1667,16.125,,2400,60,G,129,,CONC,,,,,,,,,,,,,,,,
Brno/Turany Airport,Turany,8 km SE,Brno,,SVK,9,LKTB,,,M,,49,9.1,N,16,41.6,E,H,,,,,,,49.1517,16.6933,,2650,60,H,98,,CONC,,,,,,,,,,,,,,,"Brno-Tuřany Airport is an airport near Brno, Czech Republic. In 2006, 393 686 passengers went through Brno-Tuřany passenger terminal.",
Prerov,,4 km SW,Prerov,,SVK,4,LKPO,,,M,,49,25.5,N,17,24.3,E,G,,,,,,,49.425,17.405,,2500,60,G,66,,CONC,,,,,,,,,,,,,,,,
Mosnov,,19 km SW,Ostrava,,CZE,4,LKMT,,,M,,49,41.8,N,18,6.6,E,G,,,,,,,49.6967,18.11,,3500,60,G,46,,CONC,,,,,,,,,,,,,,,,
Zabreh,,,,,CZE,4,,,,x,,49,54,N,16,54,E,N,,,,,,,49.9,16.9,,,,,,,,,,,,,,,,,,,,,,Listed on 1974 GNC; unable to locate.,
Kunovice,,2 km SW,Kunovice,,CZE,4,,,,M,,49,1.7,N,17,26.3,E,G,,,,,,,49.0283,17.4383,,2000,40,G,26,,CONC,,,,,,,,,,,,,,,Dispersal airfield.,
Gonghe,Gonghe (GNC),,,,CHN,,,,,,,36,20.2,N,100,28.8,E,H,10050,H,,,,,36.3367,100.48,,5190,50,H,94,,CONC,,,,,,,,,,,,,,,Strategic bomber airfield.  As of February 2004 satellite showed no aircraft at this base.,
Wenshui,Wenshui (GNC),,,,CHN,,,,,,,37,24.4,N,111,57.8,E,H,2840,H,,,,,37.4067,111.9633,,3000,50,H,57,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Manpo,,6 km E,Manpo,,PRK,,,,,N,,41,8,N,126,21.4,E,H,820,H,,,,,41.1333,126.3567,,1000,30,G,18,,GRAV,,,,,,,,,,,,,,,Minor dispersal airfield with revetments containing about 30 An-2 aircraft as of October 2005.,
Samjiyon,,15 km NE,Samjiyon,,PRK,,,,,M,,41,54.4,N,128,24.7,E,G,4440,G,,,,,41.9067,128.4117,,3300,60,G,60,,CONC,,,,,,,,,,,,,,,"This airfield is about 30 km east of the historic Mt Paekdu area.  The airfield has a highly developed infrastructure.  Satellite imagery as of 2009 did not show any aircraft of note, but image quality was poor.",
Hyesan,,4 km SE,Hyesan,,PRK,,,,,N,,41,22.7,N,128,12.4,E,G,3284,G,,,,,41.3783,128.2067,,1500,40,G,54,,GRAV,,,,,,,,,,,,,,,Unpaved utilitarian airstrip.  May have had concrete at one time that was reclaimed.,
Orang,,3 km SW,Hoemun,,PRK,,,,,M,,41,25.7,N,129,39.2,E,G,14,G,,,,,41.4283,129.6533,,2500,60,G,34,,CONC,,,,,,,,,,,,,,,Taxiway system leads into hardened shelters in mountains nearby.  Satellite image quality is not good enough to resolve individual aircraft.,
Uiju,,11 km NE,Uiju,,PRK,,,,,M,,40,9.1,N,124,30.1,E,H,35,H,,,,,40.1517,124.5017,,2500,60,H,30,,CONC,,,,,,,,,,,,,,,"Major military airfield with sprawling taxiway arrangement and revetments.  Serves primary Harbin H-5 (Il-28 Beagle), about 38 unique examples identified on August 2003 - January 2004.",
Sangwon-Ni Highway Strip,,3 km NW,Han-dong,,PRK,,,,,M,,40,7.5,N,125,52.5,E,H,409,H,,,,,40.125,125.875,,2000,25,H,131,,CONC,,,,,,,,,,,,,,,,
Chanjin Up,,3 km SE,Changjin,,PRK,,,,,M,,40,21.8,N,127,16.5,E,G,3566,G,,,,,40.3633,127.275,,2800,60,G,149,,CONC,,,,,,,,,,,,,,,"Major military airfield.  Satellite picture quality is not good, however.",
Sinhung Highway Strip,,2 km SW,Sinhung,,PRK,,,,,N,,40,10.8,N,127,32.5,E,G,345,G,,,,,40.18,127.5417,,2200,20,G,30,,GRAV,,,,,,,,,,,,,,,Relatively minor highway strip.,
Hwang Suwon,,16 km NE,Undam,,PRK,,,,,M,,40,40.8,N,128,9.8,E,G,4045,G,,,,,40.68,128.1633,,2900,40,G,126,,CONC,,,,,,,,,,,,,,,Major military airfield with fighter aircraft.  Satellite picture is mediocre.,
Kilchu Highway Strip,,5 km S,Kilchu,,PRK,,,,,N,,40,54.8,N,129,18.7,E,G,328,G,,,,,40.9133,129.3117,,1640,20,G,17,,CONC,,,,,,,,,,,,,,,,
Panghyon,,7 km NW,Panghyon,,PRK,,,,,M,,39,55.5,N,125,12.7,E,G,312,G,,,,,39.925,125.2117,,2500,50,G,122,,CONC,,,,,,,,,,,,,,,,
Sinanju Highway Strip,,7 km N,Anju,,PRK,,,,,H,,39,40.6,N,125,41,E,H,91,H,,,,,39.6767,125.6833,,2700,25,H,58,,CONC,,,,,,,,,,,,,,,,
Taechon,,1 km S,Taechon,,PRK,,,,,M,,39,54.1,N,125,29.5,E,G,129,H,,,,,39.9017,125.4917,,2000,60,H,107,,CONC,,,,,,,,,,,,,,,Large number of revetments.  Two An-2 aircraft parked outside.,
Pyong Ni South Highway Strip,,12 km S,Sunchon,,PRK,,,,,H,,39,19.2,N,125,53.9,E,H,131,H,,,,,39.32,125.8983,,2475,15,H,31,,CONC,,,,,,,,,,,,,,,,
Pyong Ni West Highway Strip,,4 km E,Sukchon,,PRK,,,,,h,,39,24.4,N,125,40.4,E,H,95,H,,,,,39.4067,125.6733,,2700,20,H,161,,CONC,,,,,,,,,,,,,,,,
Pyongyang/Sunan,,20 km N,Pyongyang,,PRK,,,,,M,,39,12.5,N,125,40.6,E,H,96,H,,,,,39.2083,125.6767,,3500,70,H,163,,CONC,4000,65,H,1,,,,CONC,6,4500,,,,,Major international airport,
Pyongyang/Mirim,,8 km E,Pyongyang,,PRK,,,,,A,,39,1,N,125,50.9,E,H,69,H,,,,,39.0167,125.8483,,1320,20,H,84,,CONC,,,,,,,,,,,,,,,,
Sunchon,,4 km SW,Sunchon,,PRK,,,,,M,,39,24.7,N,125,53.8,E,H,138,H,,,,,39.4117,125.8967,,2500,50,H,145,,CONC,,,,,,,,,,,,,,,,
Pukchang,,9 km N,Sunchon,,PRK,,,,,M,,39,30.2,N,125,58.3,E,H,164,H,,,,,39.5033,125.9717,,2500,50,H,132,,CONC,,,,,,,,,,,,,,,,
Kaechon,,5 km N,Kaechon,,PRK,,,,,M,,39,45.1,N,125,54.3,E,H,108,H,,,,,39.7517,125.905,,2500,50,H,44,,CONC,,,,,,,,,,,,,,,,
Kangdong,,5 km W,Kangdong,,PRK,,,,,M,,39,9.5,N,126,2.5,E,H,128,H,,,,,39.1583,126.0417,,925,35,H,26,,CONC,,,,,,,,,,,,,,,,
Okpyong Ni Highway Strip,,2 km SE,Okpyong-ni,,PRK,,,,,M,,39,16.3,N,127,19.4,E,G,31,G,,,,,39.2717,127.3233,,1500,25,H,150,,CONC,,,,,,,,,,,,,,,,
Yonghung Highway Strip,,4 km E,Yonghung,,PRK,,,,,M,,39,32.4,N,127,17.1,E,H,54,H,,,,,39.54,127.285,,2000,25,H,103,,CONC,,,,,,,,,,,,,,,,
Toksan,,11 km NE,Hamhung,,PRK,,,,,M,,39,59.8,N,127,36.8,E,H,144,H,,,,,39.9967,127.6133,,2500,50,H,39,,CONC,,,,,,,,,,,,,,,,
Sondok,,20 km S,Hamhung,,PRK,,,,,M,,39,44.7,N,127,28.6,E,H,19,H,,,,,39.745,127.4767,,2500,50,H,7,,CONC,,,,,,,,,,,,,,,,
Wonsan,,3 km NE,Wonsan,,PRK,,,,,M,,39,10,N,127,29,E,H,12,H,,,,,39.1667,127.4833,,2400,50,H,147,,CONC,,,,,,,,,,,,,,,,
Kwail,,2 km S,Pungchon,,PRK,,,,,M,,38,25.6,N,125,1.5,E,G,88,G,,,,,38.4267,125.025,,2500,40,G,144,,CONC,,,,,,,,,,,,,,,,
Onchon,,4 km N,Changch'an-ni,,PRK,,,,,M,,38,54.6,N,125,14.4,E,H,57,H,,,,,38.91,125.24,,2500,50,H,4,,CONC,,,,,,,,,,,,,,,,
Taetan,,9 km NW,Taetan,,PRK,,,,,M,,38,7.8,N,125,14.8,E,H,123,H,,,,,38.13,125.2467,,2500,40,H,92,,CONC,,,,,,,,,,,,,,,Older dispersal base in poor condition.,
Hwangju,,3 km SE,Hwangju,,PRK,,,,,M,,38,39.1,N,125,47.1,E,H,46,H,,,,,38.6517,125.785,,2500,50,H,116,,CONC,,,,,,,,,,,,,,,,
Haeju,,7 km SE,Haeju,,PRK,,,,,M,,38,0.4,N,125,46.7,E,H,45,H,,,,,38.0067,125.7783,,2000,40,H,126,,ABANDONED,,,,,,,,,,,,,,,,
Sangwon Highway Strip,,3 km W,Komunmoru-ri,,PRK,,,,,M,,38,50.8,N,126,4.6,E,G,181,G,,,,,38.8467,126.0767,,2500,20,G,114,,CONC,,,,,,,,,,,,,,,A photo of this exists on Panoramio.,
Koksan,,11 km NW,Mayu-dong,,PRK,,,,,M,,38,41.2,N,126,36.3,E,H,837,H,,,,,38.6867,126.605,,2500,40,H,58,,CONC,,,,,,,,,,,,,,,,
Nuchon Ni,,2 km NW,Taech'on-ni,,PRK,,,,,M,,38,14.4,N,126,7.2,E,H,293,H,,,,,38.24,126.12,,2500,40,H,99,,CONC,,,,,,,,,,,,,,,,
Hyon Ni,,4 km SW,Hyon Ni,,PRK,,,,,M,,38,36.9,N,127,27.1,E,H,1962,H,,,,,38.615,127.4517,,2700,40,H,11,,CONC,,,,,,,,,,,,,,,,
Kuum Ni,,10 km S,Tongch-on,,PRK,,,,,M,,38,52,N,127,54.4,E,H,96,H,,,,,38.8667,127.9067,,2500,40,H,49,,CONC,,,,,,,,,,,,,,,,
Ongjin,,5 km E,Ongjin,,PRK,,,,,M,,37,55.9,N,125,24.8,E,H,108,H,,,,,37.9317,125.4133,,2000,40,H,103,,ABANDONED,,,,,,,,,,,,,,,Demolished,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Moron,,5 km NW,Moron,,MGN,,,,,M,,49,39.8,N,100,6.1,E,H,4276,H,,,,,49.6633,100.1017,,2425,40,H,102,,CONC,,,,,,,,,,,,,,,,
Bulgan,,7 km NW,Bulgan,,MGN,,,,,M,,48,51.3,N,103,28.6,E,H,4314,H,,,,,48.855,103.4767,,1920,15,H,128,,DIRT,,,,,,,,,,,,,,,,
Gurzandzagal East,,141 km NE,Choybalsan,,MGN,,,,,M,,49,11.7,N,115,20.3,E,H,2326,G,,,,,49.195,115.3383,,2500,40,G,135,,CONC,,,,,,,,,,,,,,,Appears to be a dispersal airfield.  Very poor satellite imagery.,
Jibhalanta,,2 km S,Uliastay,,MGN,,,,,M,,47,43.1,N,96,50.8,E,H,5986,H,,,,,47.7183,96.8467,,1800,30,H,161,,ABANDONED,,,,,,,,,,,,,,,,
Ulaanbaatar/Chinggis Khaan Intl Airport,Ulaanbaatar Southwest (US),14 km SW,Ulaanbaatar,,MGN,,,,,M,,47,50.5,N,106,46.1,E,H,4368,H,,,,,47.8417,106.7683,,3100,50,H,138,,CONC,,,,,,,,,,,,,,,,
Nalayh,,2 km S,Nalayh,,MGN,,,,,M,,47,44.5,N,107,22.3,E,G,4787,G,,,,,47.7417,107.3717,,2800,45,G,117,,CONC,,,,,,,,,,,,,,,,
Bayan Suma,,3 km NW,Bayan Suma,,MGN,,,,,M,,47,22,N,107,27.4,E,H,4825,H,,,,,47.3667,107.4567,,2800,45,H,150,,CONC,,,,,,,,,,,,,,,,
Bayandelger East,,3 km S,Baganuur,,MGN,,,,,M,,47,45.7,N,108,22.6,E,G,4445,G,,,,,47.7617,108.3767,,2500,30,G,28,,ASPH,,,,,,,,,,,,,,,Shows on GNC-13 but position questionable due to very poor satellite imagery.,
Ondorhaan,,4 km SW,Ondorhaan,,MGN,,,,,M,,47,18.2,N,110,36.6,E,H,3407,H,,,,,47.3033,110.61,,1800,30,H,56,,CONC,,,,,,,,,,,,,,,,
